sample_id,Name,NL description,NL negation,SMT-LIB2,SMT-LIB2 negation,Functions
01,Name,"The name shall only contain letters a-z, letters A-Z and space characters.

The name shall contain at least one space character.

The name shall not end with a space character.

The name shall not start with a space character.

The first character in the name shall be capitalized.

Any character in the name following a space character shall be capitalized.","The name shall contain at least one character that is neither a letter a-z, nor a letter A-Z, nor a space.

The name shall contain no space character.

The name shall end with a space character.

The name shall start with a space character.

The first character in the name shall not be capitalized.

In the name, there shall be some characters following a space character which are not capitalized.","(assert (str.in.re s (re.* (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))

(assert (str.contains s "" ""))

(assert (not (str.suffixof "" "" s)))

(assert (not (str.prefixof "" "" s)))

(assert (str.in.re (str.at s 0) (re.range ""A"" ""Z"")))

(assert (not (str.in.re s  (re.++ (re.* re.allchar) (str.to.re "" "") (re.inter (re.complement (re.range ""A"" ""Z"")) re.allchar ) (re.* re.allchar) ))))","(assert (not (str.in.re s (re.* (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))))

(assert (not (str.contains s "" "")))

(assert (str.suffixof "" "" s))

(assert (str.prefixof "" "" s))

(assert (not (str.in.re (str.at s 0) (re.range ""A"" ""Z""))))

(assert (str.in.re s  (re.++ (re.* re.allchar) (str.to.re "" "") (re.inter (re.complement (re.range ""A"" ""Z"")) re.allchar ) (re.* re.allchar) )))","[""def constraint1(name: str) -> bool:\n    \""\""\""\n    The name shall only contain letters a-z, letters A-Z and space characters.\n    \""\""\""\n    return all(c.isalpha() or c.isspace() for c in name)"", ""def constraint2(name: str) -> bool:\n    \""\""\""\n    The name shall contain at least one space character.\n    \""\""\""\n    return any(c.isspace() for c in name)"", ""def constraint3(name: str) -> bool:\n    \""\""\""\n    The name shall not end with a space character.\n    \""\""\""\n    return not name.endswith(\"" \"")"", ""def constraint4(name: str) -> bool:\n    \""\""\""\n    The name shall not start with a space character.\n    \""\""\""\n    return not name.startswith(\"" \"")"", ""def constraint5(name: str) -> bool:\n    \""\""\""\n    The first character in the name shall be capitalized.\n    \""\""\""\n    return name[0].isupper()"", ""def constraint6(name: str) -> bool:\n    \""\""\""\n    Any character in the name following a space character shall be capitalized.\n    \""\""\""\n    for i in range(0, len(name) - 1):\n        if name[i].isspace():\n            if not name[i + 1].isupper():\n                return False\n    return True""]"
02,Email,"The email shall not contain a space character.

The email shall not start with a @ character.

The email shall have exactly one @ character.

The email shall include a dot character (.) after the @ character but before the end.

The final character of the email shall not be a dot character (.).

The email shall not contain the word ""manager"".","The email shall contain a space character.

The email shall start with a @ character.

The email shall have either no @ characters or more than one @ character.

If the email contains a @ character and there shall not include any dot characters (.) after the @ character and before the end.

The final character of the email shall be a dot character (.).

The email shall contain the word ""manager"".","(assert (not (str.contains s "" "")))

(assert (not (= (str.at s 0) ""@"")))

(assert (and (str.contains s ""@"") (not (str.in.re s  (re.++ (re.* re.allchar) (str.to.re ""@"") (re.* re.allchar) (str.to.re ""@"") (re.* re.allchar))))))

(assert (str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))

(assert (not (= (str.at s (- (str.len s) 1)) ""."")))

(assert (not (str.contains s ""manager"")))","(assert (str.contains s "" ""))

(assert (= (str.at s 0) ""@""))

(assert (not (and (str.contains s ""@"") (not (str.in.re s  (re.++ (re.* re.allchar) (str.to.re ""@"") (re.* re.allchar) (str.to.re ""@"") (re.* re.allchar)))))))

(assert (not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) ""."")))

(assert (= (str.at s (- (str.len s) 1)) "".""))

(assert (str.contains s ""manager""))","[""def constraint1(email: str) -> bool:\n    \""\""\""\n    The email shall not contain a space character.\n    \""\""\""\n    return \"" \"" not in email"", ""def constraint2(email: str) -> bool:\n    \""\""\""\n    The email shall not start with a @ character.\n    \""\""\""\n    return not email.startswith(\""@\"")"", ""def constraint3(email: str) -> bool:\n    \""\""\""\n    The email shall have exactly one @ character.\n    \""\""\""\n    return email.count(\""@\"") == 1"", ""def constraint4(email: str) -> bool:\n    \""\""\""\n    If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.\n    \""\""\""\n    if \""@\"" in email:\n        return \"".\"" in email.split(\""@\"", 1)[1]\n    return False"", ""def constraint5(email: str) -> bool:\n    \""\""\""\n    The final character of the email shall not be a dot character (.).\n    \""\""\""\n    return not email.endswith(\"".\"")"", ""def constraint6(email: str) -> bool:\n    \""\""\""\n    The email shall not contain the word \""manager\""\n    \""\""\""\n    return \""manager\"" not in email""]"
03,Password,"The password shall be at least 4 characters long.

The password shall contain one of the following characters: !, #, $.

The password shall contain at least one upper case characters.

The password shall contain at least one lower case characters.

The password shall contain at least one number.","The password shall contain less than 4 characters.

The password shall not contain any of the following characters: !, #, $.

The password shall not contain any upper case characters.

The password shall not contain any lower case characters.

The password shall not contain any numbers.","(assert (>= (str.len s) 4))

(assert (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))

(assert (str.in.re s  (re.++ (re.* re.allchar) (re.range ""A"" ""Z"") (re.* re.allchar))))

(assert (str.in.re s  (re.++ (re.* re.allchar) (re.range ""a"" ""z"") (re.* re.allchar))))

(assert (str.in.re s  (re.++ (re.* re.allchar) (re.range ""0"" ""9"") (re.* re.allchar))))","(assert (not (>= (str.len s) 4)))

(assert (not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))))

(assert (not (str.in.re s  (re.++ (re.* re.allchar) (re.range ""A"" ""Z"") (re.* re.allchar)))))

(assert (not (str.in.re s  (re.++ (re.* re.allchar) (re.range ""a"" ""z"") (re.* re.allchar)))))

(assert (not (str.in.re s  (re.++ (re.* re.allchar) (re.range ""0"" ""9"") (re.* re.allchar)))))","[""def constraint1(password: str) -> bool:\n    \""\""\""\n    The password shall be at least 4 characters long.\n    \""\""\""\n    return len(password) >= 4"", ""def constraint2(password: str) -> bool:\n    \""\""\""\n    The password shall contain one of the following characters: !, #, $.\n    \""\""\""\n    return any(char in password for char in \""!#$\"")"", ""def constraint3(password: str) -> bool:\n    \""\""\""\n    The password shall contain at least one upper case characters.\n    \""\""\""\n    return any(char.isupper() for char in password)"", ""def constraint4(password: str) -> bool:\n    \""\""\""\n    The password shall contain at least one lower case characters.\n    \""\""\""\n    return any(char.islower() for char in password)"", ""def constraint5(password: str) -> bool:\n    \""\""\""\n    The password shall contain at least one number.\n    \""\""\""\n    return any(char.isdigit() for char in password)""]"
04,Url,"The url shall start with either http:// or https://.

The url shall not contain any spaces.

The url shall contain at least one dot character (.).","The url shall not start with http://, nor with https://.

The url shall contain at least one space.

The url shall not contain any dot character (.).","(assert (or (str.prefixof ""http://"" s) (str.prefixof ""https://"" s)))

(assert (not (str.contains s "" "")))

(assert (str.contains s "".""))","(assert (not (or (str.prefixof ""http://"" s) (str.prefixof ""https://"" s))))

(assert (str.contains s "" ""))

(assert (not (str.contains s ""."")))","[""def constraint1(url: str) -> bool:\n    \""\""\""\n    The url shall start with either http:// or https://.\n    \""\""\""\n    return url.startswith(\""http://\"") or url.startswith(\""https://\"")"", ""def constraint2(url: str) -> bool:\n    \""\""\""\n    The url shall not contain any spaces.\n    \""\""\""\n    return \"" \"" not in url"", ""def constraint3(url: str) -> bool:\n    \""\""\""\n    The url shall contain at least one dot character (.).\n    \""\""\""\n    return \"".\"" in url""]"
05,Date,"The date shall contain two hyphens.

If there is at least one hyphen, the part before the hyphen shall be a number between 0 and 2025.

If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.

If there are at least two hyphen, The part after the second hyphen shall be a number between 1 and 31.","The date shall contain either no hyphens, one hyphen or more than two hyphens.

There must be at least one hyphen and the part before the hyphen shall not be a number between 0 and 2025.

There must be at least two hyphens and the part after the first hyphen but before the second hyphen shall not be a number between 1 and 12.

There must be at least two hyphens an d the part after the second hyphen shall not be a number between 1 and 31.","(assert (and (str.in.re s (re.++ (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar))) (not (str.in.re s (re.++ (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar)))) ))

(assert (let ((part1 (str.substr s 0 (str.indexof s ""-"" 0)))) (and (>= (str.to.int part1) 0) (<= (str.to.int part1) 2025))))

(assert (let ((start2 (+ (str.indexof s ""-"" 0) 1)) (end2 (str.indexof s ""-"" (+ (str.indexof s ""-"" 0) 1)))) (let ((part2 (str.substr s start2 (- end2 start2)))) (and (>= (str.to.int part2) 1) (<= (str.to.int part2) 12)))))

(assert (let ((start3 (+ (str.indexof s ""-"" (+ (str.indexof s ""-"" 0) 1)) 1))) (let ((part3 (str.substr s start3 (- (str.len s) start3)))) (and (>= (str.to.int part3) 1) (<= (str.to.int part3) 31)))))","(assert (not (and (str.in.re s (re.++ (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar))) (not (str.in.re s (re.++ (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar)))) )))

(assert (not (let ((part1 (str.substr s 0 (str.indexof s ""-"" 0)))) (and (>= (str.to.int part1) 0) (<= (str.to.int part1) 2025)))))

(assert (not (let ((start2 (+ (str.indexof s ""-"" 0) 1)) (end2 (str.indexof s ""-"" (+ (str.indexof s ""-"" 0) 1)))) (let ((part2 (str.substr s start2 (- end2 start2)))) (and (>= (str.to.int part2) 1) (<= (str.to.int part2) 12))))))

(assert (not (let ((start3 (+ (str.indexof s ""-"" (+ (str.indexof s ""-"" 0) 1)) 1))) (let ((part3 (str.substr s start3 (- (str.len s) start3)))) (and (>= (str.to.int part3) 1) (<= (str.to.int part3) 31))))))","[""def constraint1(date: str) -> bool:\n    \""\""\""\n    The date shall contain two hyphens.\n    \""\""\""\n    return date.count(\""-\"") == 2"", ""def constraint2(date: str) -> bool:\n    \""\""\""\n    If there are at least one hyphen, the part before the first hyphen shall be a number between 0 and 2025.\n    \""\""\""\n    if \""-\"" in date:\n        part = date.split(\""-\"")[0]\n        return part.isdigit() and 0 <= int(part) <= 2025\n    return True"", ""def constraint3(date: str) -> bool:\n    \""\""\""\n    If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.\n    \""\""\""\n    if date.count(\""-\"") >= 2:\n        part = date.split(\""-\"")[1]\n        return part.isdigit() and 1 <= int(part) <= 12\n    return True"", ""def constraint4(date: str) -> bool:\n    \""\""\""\n    If there are at least two hyphen, The part after the second hyphen shall be a number between 1 and 31.\n    \""\""\""\n    if date.count(\""-\"") >= 2:\n        part = date.split(\""-\"", 2)[2]\n        return part.isdigit() and 1 <= int(part) <= 31\n    return True""]"
06,IBAN,"The length of the bank number shall be 22.

The bank number shall start with 1210.

The bank number shall have at least 6 characters, and the fifth and sixth characters shall both be 0.","The length of the bank account shall not be 22.

The bank number shall not start with 1210.

The bank number shall either have less than 6 characters, or either the fifth or sixth character shall not be 0.
","(assert (= (str.len s) 22))

(assert (str.prefixof ""1210"" s))

(assert (and (>= (str.len s) 6) (and (= (str.at s 4) ""0"") (= (str.at s 5) ""0""))))","(assert (not (= (str.len s) 22)))

(assert (not (str.prefixof ""1210"" s)))

(assert (not (and (>= (str.len s) 6) (and (= (str.at s 4) ""0"") (= (str.at s 5) ""0"")))))","[""def constraint1(iban: str) -> bool:\n    \""\""\""\n    The length of the bank number shall be 22.\n    \""\""\""\n    return len(iban) == 22"", ""def constraint2(iban: str) -> bool:\n    \""\""\""\n    The first 4 numbers of the bank number shall be: 1210 (CA).\n    \""\""\""\n    return iban.startswith(\""1210\"")"", ""def constraint3(iban: str) -> bool:\n    \""\""\""\n    The next 2 numbers after the first 4 numbers shall be 00.\n    \""\""\""\n    if len(iban) >= 6:\n        return iban[4:6] == \""00\""\n    return False""]"
07,ISBN,"The ISBN shall only contain numbers (0-9), the letter X, or hyphens.

The last character of the ISBN shall either be a number (0-9) or the letter X.

The ISBN shall contain exactly 10 characters, excluding hyphens.

The ISBN shall not start with a hyphen.

Hyphens shall not occur consecutively in the ISBN.

The ISBN shall contain at most 3 hyphens.","The ISBN shall contain at least one character that is neither a number (0-9), nor the letter X, nor a hyphen.

The last character of the ISBN shall be neither a number (0-9), nor the letter X.

Without counting hyphens, the ISBN shall contain less than or more than 10 characters.

The ISBN shall start with a hyphen.

The ISBN shall contain two consecutive hyphens.

The ISBN shall contain more than 3 hyphens.","(assert (str.in.re s (re.* (re.union (re.range ""0"" ""9"") (str.to.re ""X"") (str.to.re ""-"") ))))

(assert (or (str.in.re (str.at s (- (str.len s) 1)) (re.range ""0"" ""9"")) (= (str.at s (- (str.len s) 1)) ""X"")))

(assert (= (str.len (str.replace_all s ""-"" """")) 10))

(assert (not (str.prefixof ""-"" s)))

(assert (not (str.contains s ""--"")))

(assert (not (str.in.re s (re.++ (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar)))))","(assert (not (str.in.re s (re.* (re.union (re.range ""0"" ""9"") (str.to.re ""X"") (str.to.re ""-"") )))))

(assert (not (or (str.in.re (str.at s (- (str.len s) 1)) (re.range ""0"" ""9"")) (= (str.at s (- (str.len s) 1)) ""X""))))

(assert (not (= (str.len (str.replace_all s ""-"" """")) 10)))

(assert (str.prefixof ""-"" s))

(assert (str.contains s ""--""))

(assert (str.in.re s (re.++ (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar) (str.to.re ""-"") (re.* re.allchar))))","[""def constraint1(isbn: str) -> bool:\n    \""\""\""\n    The ISBN shall include digits (0-9) , the letter \""X\"", or hyphens.\n    \""\""\""\n    return all(char.isdigit() or char in \""X-\"" for char in isbn)"", ""def constraint2(isbn: str) -> bool:\n    \""\""\""\n    The last character of the ISBN shall either be digits (0-9) or the letter \""X\"".\n    \""\""\""\n    if len(isbn) == 0:\n        return False\n    return isbn[-1].isdigit() or isbn[-1] == \""X\"""", ""def constraint3(isbn: str) -> bool:\n    \""\""\""\n    The ISBN shall contain exactly 10 characters excluding hyphens.\n    \""\""\""\n    return len(isbn.replace(\""-\"", \""\"")) == 10"", ""def constraint4(isbn: str) -> bool:\n    \""\""\""\n    Hyphens shall not be at the beginning of the ISBN.\n    \""\""\""\n    return not isbn.startswith(\""-\"")"", ""def constraint5(isbn: str) -> bool:\n    \""\""\""\n    Hyphens shall not occur consecutively in the ISBN.\n    \""\""\""\n    return \""--\"" not in isbn"", ""def constraint6(isbn: str) -> bool:\n    \""\""\""\n    An ISBN shall contain at most 3 hyphens\n    \""\""\""\n    return isbn.count(\""-\"") <= 3""]"
08,Expression,"The arithmetic expression shall only contain numbers (0-9) and arithmetic operators (+, -, *, /).

The arithmetic operators (+, -, *, /) in the arithmetic expression shall not appear consecutively.

Except for the minus sign (-), every operator (+, *, /) in the arithmetic expression shall have a number before and after it.

The arithmetic expression shall not start with operators from the set {+, *, /}.","The arithmetic expression shall contain at least one character that is neither a number (0-9), nor an arithmetic operator (+, -, *, /).

The arithmetic expression shall contain consecutive arithmetic operators (+, -, *, /).

The arithmetic expression shall contain an operator from the set {+, *, /} that either does not have a number immediately before it or does not have a number immediately after it.

The arithmetic expression shall start with one of the operators in the set {+, *, /}.","(assert (str.in.re s (re.* (re.union (re.range ""0"" ""9"") (str.to.re ""+"") (str.to.re ""-"") (str.to.re ""*"") (str.to.re ""/"")))))

(assert (not (str.in.re s (re.++ (re.* re.allchar) (re.union (str.to.re ""+"") (str.to.re ""-"") (str.to.re ""*"") (str.to.re ""/"")) (re.union (str.to.re ""+"") (str.to.re ""-"") (str.to.re ""*"") (str.to.re ""/"")) (re.* re.allchar)))))

(assert (not 
(or 
(str.suffixof ""+"" s)
(str.suffixof ""*"" s)
(str.suffixof ""/"" s)
(str.prefixof ""+"" s)
(str.prefixof ""*"" s)
(str.prefixof ""/"" s)
(str.in.re s (re.++
(re.* re.allchar)
(re.union (str.to.re ""+"") (str.to.re ""*"") (str.to.re ""/""))
(re.inter (re.complement (re.range ""0"" ""9"")) re.allchar )
(re.* re.allchar)
))
(str.in.re s (re.++
(re.* re.allchar)
(re.inter (re.complement (re.range ""0"" ""9"")) re.allchar )
(re.union (str.to.re ""+"") (str.to.re ""*"") (str.to.re ""/""))
(re.* re.allchar)
)))))

(assert (not (or (str.prefixof ""+"" s) (str.prefixof ""*"" s) (str.prefixof ""/"" s))))","(assert (not (str.in.re s (re.* (re.union (re.range ""0"" ""9"") (str.to.re ""+"") (str.to.re ""-"") (str.to.re ""*"") (str.to.re ""/""))))))

(assert (str.in.re s (re.++ (re.* re.allchar) (re.union (str.to.re ""+"") (str.to.re ""-"") (str.to.re ""*"") (str.to.re ""/"")) (re.union (str.to.re ""+"") (str.to.re ""-"") (str.to.re ""*"") (str.to.re ""/"")) (re.* re.allchar))))

(assert
(or 
(str.suffixof ""+"" s)
(str.suffixof ""*"" s)
(str.suffixof ""/"" s)
(str.prefixof ""+"" s)
(str.prefixof ""*"" s)
(str.prefixof ""/"" s)
(str.in.re s (re.++
(re.* re.allchar)
(re.union (str.to.re ""+"") (str.to.re ""*"") (str.to.re ""/""))
(re.inter (re.complement (re.range ""0"" ""9"")) re.allchar )
(re.* re.allchar)
))
(str.in.re s (re.++
(re.* re.allchar)
(re.inter (re.complement (re.range ""0"" ""9"")) re.allchar )
(re.union (str.to.re ""+"") (str.to.re ""*"") (str.to.re ""/""))
(re.* re.allchar)
))))

(assert (or (str.prefixof ""+"" s) (str.prefixof ""*"" s) (str.prefixof ""/"" s)))","[""def constraint1(expression: str) -> bool:\n    \""\""\""\n    An arithmetic expression shall only contain digits (0-9) and arithmetic operators (+, -, *, /).\n    \""\""\""\n    return all(char.isdigit() or char in \""+-*/\"" for char in expression)"", ""def constraint2(expression: str) -> bool:\n    \""\""\""\n    The arithmetic operators (+, -, *, /) in an arithmetic expression shall not appear consecutively.\n    \""\""\""\n    patterns = [\n        \""++\"",\n        \""--\"",\n        \""**\"",\n        \""//\"",\n        \""+-\"",\n        \""-+\"",\n        \""*/\"",\n        \""/*\"",\n        \""/-\"",\n        \""-/\"",\n        \""+/\"",\n        \""/+\"",\n        \""*-\"",\n        \""-*\"",\n        \""*+\"",\n        \""+*\"",\n    ]\n    return not any(pattern in expression for pattern in patterns)"", ""def constraint3(expression: str) -> bool:\n    \""\""\""\n    Except for the minus sign (-), every operator (+, *, /) shall have a number before and after it.\n    \""\""\""\n    for i in range(len(expression)):\n        if expression[i] in \""+*/\"" and (\n            i == 0\n            or not expression[i - 1].isdigit()\n            or i == len(expression) - 1\n            or not expression[i + 1].isdigit()\n        ):\n            return False\n    return True"", ""def constraint4(expression: str) -> bool:\n    \""\""\""\n    An expression shall not start with operators +, *, /.\n    \""\""\""\n    return (\n        not expression.startswith(\""+\"")\n        and not expression.startswith(\""*\"")\n        and not expression.startswith(\""/\"")\n    )""]"
09,Palindrome,"The palindrome shall be at least 3 characters long.

The palindrome shall be identical to its reverse.","The palindrome shall be at most 2 characters long.

The palindrome shall not be identical to its reverse.","(assert (>= (str.len s) 3))

(assert (forall ((i Int)) (=> (and (>= i 0) (< i (str.len s))) (= (str.at s i) (str.at s (- (- (str.len s) 1) i))))))","(assert (not (>= (str.len s) 3)))

(assert (not (forall ((i Int)) (=> (and (>= i 0) (< i (str.len s))) (= (str.at s i) (str.at s (- (- (str.len s) 1) i)))))))","[""def constraint1(palindrome: str) -> bool:\n    \""\""\""\n    A palindrome shall be at least 3 characters long\n    \""\""\""\n    return len(palindrome) >= 3"", ""def constraint2(palindrome: str) -> bool:\n    \""\""\""\n    A palindrome shall be identical to its reverse\n    \""\""\""\n    return palindrome == palindrome[::-1]""]"
10,Parentheses,"The parentheses string shall be at least 10 characters long.

The parentheses string shall only contains ( and ) characters.

The parenthesis string shall contain an equal number of ( characters and ) characters.

When scanning from left to right on the parentheses string, at no point shall the count of ) characters exceed the count of ( characters.","The parentheses string shall be at most 9 characters long.

The parentheses string shall contain at least one character that is neither ( nor ).

The parenthesis string shall not contain an equal number of ( characters and ) characters.

There shall exist at least one position in a parentheses string such that, when scanning from left to right up to that position, the count of ) characters exceeds the count of ( characters.","(assert (>= (str.len s) 10))

(assert (str.in.re s (re.* (re.union (str.to.re ""("") (str.to.re "")"")))))

(assert (= (- (str.len s) (str.len (str.replace_all s ""("" """")))
           (- (str.len s) (str.len (str.replace_all s "")"" """")))))

(assert (forall ((i Int))
(=> (and (>= i 0) (< i (str.len s))) (<= (str.len (str.replace_all (str.substr s 0 i) ""("" """"))
(str.len (str.replace_all (str.substr s 0 i) "")"" """"))))))","(assert (not (>= (str.len s) 10)))

(assert (not (str.in.re s (re.* (re.union (str.to.re ""("") (str.to.re "")""))))))

(assert (not (= (- (str.len s) (str.len (str.replace_all s ""("" """")))
           (- (str.len s) (str.len (str.replace_all s "")"" """"))))))

(assert (not (forall ((i Int))
(=> (and (>= i 0) (< i (str.len s))) (<= (str.len (str.replace_all (str.substr s 0 i) ""("" """"))
(str.len (str.replace_all (str.substr s 0 i) "")"" """")))))))","[""def constraint1(parentheses: str) -> bool:\n    \""\""\""\n    A parentheses string shall be at least 10 characters long\n    \""\""\""\n    return len(parentheses) >= 10"", ""def constraint2(parentheses: str) -> bool:\n    \""\""\""\n    A parentheses string shall only contains \""(\"" and \"")\"" charaters.\n    \""\""\""\n    return all(char in \""()\"" for char in parentheses)"", ""def constraint3(parentheses: str) -> bool:\n    \""\""\""\n    The total number of \""(\"" characters shall be equal to the total number of \"")\"" characters in a parentheses string.\n    \""\""\""\n    return parentheses.count(\""(\"") == parentheses.count(\"")\"")"", ""def constraint4(parentheses: str) -> bool:\n    \""\""\""\n    When scanning from left to right on the parentheses string, at no point shall the count of \"")\"" characters exceed the count of \""(\"" characters.\n    \""\""\""\n    count = 0\n    for char in parentheses:\n        if char == \""(\"":\n            count += 1\n        elif char == \"")\"":\n            count -= 1\n        if count < 0:\n            return False\n    return True""]"
