name,mask,constraint,result
Absolute_Path,True,"The absolute path shall start with the root directory ""/"".",
Absolute_Path,True,The absolute path shall not contain any spaces.,
Absolute_Path,True,"The absolute path shall not end with ""/"".",
Absolute_Path,True,"The absolute path shall not contain consecutive ""/"" characters.",
Absolute_Path,False,"The absolute path shall not start with the root directory ""/"".",
Absolute_Path,False,The absolute path shall contain at least one space.,"(str.contains s "" "")"
Absolute_Path,False,"The absolute path shall end with ""/"".","(str.suffix s ""/"")"
Absolute_Path,False,"The absolute path shall contain consecutive ""/"" characters.","(str.contains s ""+"")"
Date,True,The date shall contain two hyphens.,"(str.contains s ""--"")"
Date,True,"If there is at least one hyphen, the part before the hyphen shall be a number between 0 and 2025.",
Date,True,"If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.",
Date,True,"If there are at least two hyphen, The part after the second hyphen shall be a number between 1 and 31.",
Date,False,"The date shall contain either no hyphens, one hyphen or more than two hyphens.","(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) ((str.count s ""-"") > 2))"
Date,False,There must be at least one hyphen and the part before the hyphen shall not be a number between 0 and 2025.,
Date,False,There must be at least two hyphens and the part after the first hyphen but before the second hyphen shall not be a number between 1 and 12.,
Date,False,There must be at least two hyphens an d the part after the second hyphen shall not be a number between 1 and 31.,
DNA,True,"The DNA sequence shall only contain letters A, T, C and G.","(forall (B) (= (or (= B 65) (= B 68) (= B 67) (= B 70) (= B 71)) (= B 84) (= B 87) (= B 86) (= B 89)) (in B s)))]
}"
DNA,True,The length of The DNA sequence shall be at least 10.,(>= (str.len s) 10)
DNA,True,The length of The DNA sequence shall be a multiple of three.,( ̼ltima ( Str.iden Len s 3))
DNA,True,The DNA sequence shall start with ATG.,
DNA,True,"The DNA sequence shall end with either TAA, or TAG, or TGA.","(or (= suffix s ""TAA"") (= suffix s ""TAG"") (= suffix s ""TGA""))"
DNA,False,"The DNA sequence shall contain at least one letter that is neither A, nor T, nor C, nor G.",
DNA,False,The length of the DNA sequence shall be at most 9.,(<= (length s) 9)
DNA,False,The length of the DNA sequence shall not a multiple of three.,
DNA,False,The DNA sequence shall not start with ATG.,
DNA,False,"The DNA sequence shall not end with TAA, nor with TAG, nor with TGA.",
Email,True,The email shall not contain a space character.,"(not (str.contains s "" ""))"
Email,True,The email shall not start with a @ character.,"(and (> (str.len s) 0) (not (= (str.at s 0) ""@"")))"
Email,True,The email shall have exactly one @ character.,
Email,True,The email shall include a dot character (.) after the @ character but before the end.,
Email,True,The final character of the email shall not be a dot character (.).,
Email,True,"The email shall not contain the word ""manager"".",
Email,False,The email shall contain a space character.,"(str.contains s "" "")"
Email,False,The email shall start with a @ character.,
Email,False,The email shall have either no @ characters or more than one @ character.,
Email,False,If the email contains a @ character and there shall not include any dot characters (.) after the @ character and before the end.,
Email,False,The final character of the email shall be a dot character (.).,
Email,False,"The email shall contain the word ""manager"".",
Expression,True,"The arithmetic expression shall only contain numbers (0-9) and arithmetic operators (+, -, *, /).",
Expression,True,"The arithmetic operators (+, -, *, /) in the arithmetic expression shall not appear consecutively.",
Expression,True,"Except for the minus sign (-), every operator (+, *, /) in the arithmetic expression shall have a number before and after it.",
Expression,True,"The arithmetic expression shall not start with operators from the set {+, *, /}.",
