name,mask,nl_constraint,step_0,step_1,step_2,step_3,step_4
Name,True,"The name shall only contain letters a-z, letters A-Z and space characters.","(str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))","(str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))","(str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))","(str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))","(str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))"
Name,True,The name shall contain at least one space character.,"(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")"
Name,True,The name shall not end with a space character.,"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))"
Name,True,The name shall not start with a space character.,"(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))"
Name,False,"The name shall not contain letters a-z, letters A-Z and spaces.","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))"
Name,False,The name shall contain no space character.,"(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))"
Name,False,The name shall end with a space character.,"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")"
Name,False,The name shall start  with a space character.,"(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")"
Email,True,The email shall not contain a space character.,"(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))"
Email,True,The email shall not start with a @ character.,"(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))"
Email,True,The email shall have exactly one @ character.,"(= (str.count s ""@"") 1)","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"") 1)","(= 1 (str.count s ""@""))"
Email,True,"If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.","(=> (str.contains s ""@"")(exists ((i Int)) (and (> i (str.indexof s ""@"")) (< i (str.len s)) (str.contains (str.substr s i (- (str.len s) i)) "".""))))))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))"
Email,False,The email shall contain a space character.,"(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")"
Email,False,The email shall start with a @ character.,,"(= (str.at s 0) ""@"")]
}","(= (str.at s 0) ""@"")]
}","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")"
