constraint0,constraint1,level,step
"(and (>= (str.to.int (str.substr s (str.indexof s ""-"" 0) (str.indexof s ""-"" 1))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" 0) (str.indexof s ""-"" 1))) 12))","(and (>= (str.to.int (str.substr s (str.indexof s ""-"" 1) (str.indexof s ""-"" 2))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" 1) (str.indexof s ""-"" 2))) 31))",0,0
,,0,1
"(and (<= 1 (str.to.int (str.substr s (str.indexof s ""-"" 0) (str.indexof s ""-"" (str.indexof s ""-"" 0) + 1))) 12) (str.contains s ""-""))","(and (<= 1 (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 0) + 1) (str.length s))) 31) (str.contains s ""-""))",0,2
"(let ((month (str.substr s (str.indexof s ""-"" 0) (str.indexof s ""-"" 1)))) (and (>= (str.to.int month) 1) (<= (str.to.int month) 12)))","(let ((day (str.substr s (str.indexof s ""-"" 1) (str.length s)))) (and (>= (str.to.int day) 1) (<= (str.to.int day) 31)))",0,3
,,0,4
,,0,5
,,0,6
,,0,7
,,0,8
,,0,9
