constraint0,constraint1,level,step
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",1,0
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,1
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,2
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,3
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,4
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,5
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,6
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,7
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,8
"(str.contains s "" "")","(= (str.at s 0) ""@"")[",2,9
