constraint0,constraint1,level,step
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",1,0
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,1
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,2
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,3
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,4
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,5
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,6
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,7
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,8
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))",2,9
