constraint0,constraint1,level,step
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",1,0
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,1
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,2
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,3
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,4
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,5
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,6
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,7
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,8
"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))",2,9
