constraint0,constraint1,constraint2,constraint3,level,step
,,,,0,0
,,,,0,1
,,,,0,2
,,,,0,3
,,,,0,4
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (str.contains s (str.to.re ""[A-Z]"")))","(not (str.contains s (str.to.re ""[a-z]"")))",0,5
,,,,0,6
,,,,0,7
,,,,0,8
,,,,0,9
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (str.contains s (str.to.re ""[A-Z]"")))","(not (str.contains s (str.to.re ""[a-z]"")))",0,10
,,,,0,11
,,,,0,12
,,,,0,13
,,,,0,14
,,,,0,15
,,,,0,16
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (str.contains s (str.to.re ""[A-Z]"")))","(not (str.contains s (str.to.re ""[a-z]"")))",0,17
,,,,0,18
,,,,0,19
