name,mask,constraint,result
Absolute_Path,True,"The absolute path shall start with the root directory ""/"".","def this_function(s: str) -> bool:
    ''' Check if the absolute path starts with the root directory ""/"".'''
    return s.startswith('/')"
Absolute_Path,True,The absolute path shall not contain any spaces.,"def this_function(s: str) -> bool:
    ''' Check if the absolute path contains any spaces.'''
    return ' ' not in s"
Absolute_Path,True,"The absolute path shall not end with ""/"".","def this_function(s: str) -> bool:
    '''Check if the absolute path does not end with ""/"".'''
    return not s.endswith('/')"
Absolute_Path,True,"The absolute path shall not contain consecutive ""/"" characters.","def this_function(s: str) -> bool:
    ''' Check if the absolute path does not contain consecutive ""/"" characters.'''
    return '//' not in s"
Absolute_Path,False,"The absolute path shall not start with the root directory ""/"".","def this_function(s: str) -> bool:
    ''' Check if the absolute path does not start with the root directory ""/"".'''
    return not s.startswith('/')"
Absolute_Path,False,The absolute path shall contain at least one space.,"def this_function(s: str) -> bool:
    ''' Check if the absolute path contains at least one space.'''
    return ' ' in s"
Absolute_Path,False,"The absolute path shall end with ""/"".","def this_function(s: str) -> bool:
    ''' Check if the absolute path ends with ""/"".'''
    return s.endswith('/')"
Absolute_Path,False,"The absolute path shall contain consecutive ""/"" characters.","def this_function(s: str) -> bool:
    ''' Check if the absolute path contains consecutive ""/"" characters.'''
    return '//' in s"
Date,True,The date shall contain two hyphens.,"def this_function(s: str) -> bool:
    ''' Check if the date shall contain two hyphens.'''
    return s.count('-') == 2"
Date,True,"If there is at least one hyphen, the part before the hyphen shall be a number between 0 and 2025.","def this_function(s: str) -> bool:
    # Check if there is at least one hyphen in the string
    if '-' in s:
        # Split the string into two parts
        before_hyphen, after_hyphen = s.split('-', 1)
        
        # Check if the part before the hyphen is a number
        if before_hyphen.isdigit():
            number = int(before_hyphen)
            # Check if the number is between 0 and 2025 (inclusive)
            return 0 <= number <= 2025
        else:
            # If it's not a number, return False
            return False
    else:
        # If there is no hyphen, return True (since the condition is about the presence of a hyphen)
        return True"
Date,True,"If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.","def this_function(s: str) -> bool:
    # Split the string by hyphens
    parts = s.split('-')
    
    # Check if there are at least two hyphens
    if len(parts) < 3:
        return False
    
    # Extract the part between the first and second hyphen
    middle_part = parts[1]
    
    # Check if the middle part is a number between 1 and 12
    try:
        num = int(middle_part)
        return 1 <= num <= 12
    except ValueError:
        return False"
Date,True,"If there are at least two hyphen, The part after the second hyphen shall be a number between 1 and 31.","def this_function(s: str) -> bool:
    # Split the string by hyphens
    parts = s.split('-')
    
    # Check if there are at least two hyphens
    if len(parts) < 3:
        return False
    
    # Get the part after the second hyphen
    number_part = parts[2]
    
    # Check if the part is a number and is between 1 and 31
    try:
        number = int(number_part)
        return 1 <= number <= 31
    except ValueError:
        return False"
Date,False,"The date shall contain either no hyphens, one hyphen or more than two hyphens.","def this_function(s: str) -> bool:
    ''' 
    Check if the date shall contain either no hyphens, one hyphen or more than two hyphens.
    
    Args:
    s (str): The input string to check.
    
    Returns:
    bool: True if the string contains either no hyphens, one hyphen, or more than two hyphens. False otherwise.
    '''
    count = s.count('-')
    return count == 0 or count == 1 or count > 2"
Date,False,There must be at least one hyphen and the part before the hyphen shall not be a number between 0 and 2025.,"def this_function(s: str) -> bool:
    # Check if there is at least one hyphen in the string
    if '-' not in s:
        return False
    
    # Split the string into two parts using the hyphen
    before_hyphen, after_hyphen = s.split('-', 1)
    
    # Check if the part before the hyphen is a number
    if before_hyphen.isdigit():
        number = int(before_hyphen)
        # Check if the number is between 0 and 2025 (inclusive)
        if 0 <= number <= 2025:
            return False
    
    # If all checks pass, return True
    return True"
Date,False,There must be at least two hyphens and the part after the first hyphen but before the second hyphen shall not be a number between 1 and 12.,"def this_function(s: str) -> bool:
    # Check if there are at least two hyphens in the string
    if s.count('-') < 2:
        return False
    
    # Find the positions of the first and second hyphens
    first_hyphen_index = s.find('-')
    second_hyphen_index = s.find('-', first_hyphen_index + 1)
    
    # Extract the substring between the first and second hyphens
    substring = s[first_hyphen_index + 1:second_hyphen_index]
    
    # Check if the substring is a number between 1 and 12
    if substring.isdigit():
        num = int(substring)
        if 1 <= num <= 12:
            return False
    
    # If all checks pass, return True
    return True"
Date,False,There must be at least two hyphens an d the part after the second hyphen shall not be a number between 1 and 31.,"def this_function(s: str) -> bool:
    # Split the string by hyphens
    parts = s.split('-')
    
    # Check if there are at least two hyphens
    if len(parts) < 3:
        return False
    
    # Get the part after the second hyphen
    after_second_hyphen = parts[2]
    
    # Check if the part after the second hyphen is a number between 1 and 31
    try:
        num = int(after_second_hyphen)
        if 1 <= num <= 31:
            return False
    except ValueError:
        # If it's not a number, it's fine
        pass
    
    # If all checks pass, return True
    return True"
DNA,True,"The DNA sequence shall only contain letters A, T, C and G.","def this_function(s: str) -> bool:
    ''' Check if the DNA sequence shall only contain letters A, T, C and G.'''
    valid_nucleotides = {'A', 'T', 'C', 'G'}
    
    # Check if all characters in the string are valid nucleotides
    return all(char.upper() in valid_nucleotides for char in s)"
DNA,True,The length of The DNA sequence shall be at least 10.,"def this_function(s: str) -> bool:
    ''' Check if the length of the DNA sequence is at least 10.'''
    return len(s) >= 10"
DNA,True,The length of The DNA sequence shall be a multiple of three.,"def this_function(s: str) -> bool:
    '''Check if the length of the DNA sequence is a multiple of three.'''
    return len(s) % 3 == 0"
DNA,True,The DNA sequence shall start with ATG.,"def this_function(s: str) -> bool:
    ''' Check if the DNA sequence starts with ATG.'''
    return s.startswith(""ATG"")"
DNA,True,"The DNA sequence shall end with either TAA, or TAG, or TGA.","def this_function(s: str) -> bool:
    ''' Check if the DNA sequence ends with either TAA, or TAG, or TGA.'''
    # Define the stop codons
    stop_codons = [""TAA"", ""TAG"", ""TGA""]
    
    # Check if the last three characters of the string are in the stop_codons list
    return s[-3:].upper() in stop_codons"
DNA,False,"The DNA sequence shall contain at least one letter that is neither A, nor T, nor C, nor G.","def this_function(s: str) -> bool:
    ''' Check if the DNA sequence contains at least one letter that is neither A, nor T, nor C, nor G.'''
    # Define the set of valid DNA nucleotides
    valid_nucleotides = {'A', 'T', 'C', 'G'}
    
    # Iterate through each character in the string
    for char in s:
        # If a character is not in the set of valid nucleotides, return True
        if char not in valid_nucleotides:
            return True
    
    # If all characters are valid, return False
    return False"
DNA,False,The length of the DNA sequence shall be at most 9.,"def this_function(s: str) -> bool:
    ''' Check if the length of the DNA sequence is at most 9.'''
    return len(s) <= 9"
DNA,False,The length of the DNA sequence shall not a multiple of three.,"def this_function(s: str) -> bool:
    '''Check if the length of the DNA sequence is not a multiple of three.'''
    return len(s) % 3 != 0"
DNA,False,The DNA sequence shall not start with ATG.,"def this_function(s: str) -> bool:
    ''' Check if the DNA sequence shall not start with ATG.'''
    return not s.startswith(""ATG"")"
DNA,False,"The DNA sequence shall not end with TAA, nor with TAG, nor with TGA.","def this_function(s: str) -> bool:
    ''' 
    Check if the DNA sequence does not end with TAA, TAG, or TGA.
    
    Args:
    s (str): The DNA sequence to check.
    
    Returns:
    bool: True if the sequence does not end with TAA, TAG, or TGA; False otherwise.
    '''
    # Define the stop codons
    stop_codons = ['TAA', 'TAG', 'TGA']
    
    # Check if the sequence ends with any of the stop codons
    for codon in stop_codons:
        if s.endswith(codon):
            return False
    
    # If none of the stop codons are found at the end, return True
    return True"
Email,True,The email shall not contain a space character.,"def this_function(s: str) -> bool:
    ''' Check if the email shall not contain a space character.'''
    return ' ' not in s"
