name,mask,constraint,result
Absolute_Path,True,"The absolute path shall start with the root directory ""/"".","(str.startsWith s ""/"")"
Absolute_Path,True,The absolute path shall not contain any spaces.,"(not (str.contains s "" ""))"
Absolute_Path,True,"The absolute path shall not end with ""/"".","(not (= (str.at s (- (str.len s) 1)) ""/""))"
Absolute_Path,True,"The absolute path shall not contain consecutive ""/"" characters.","(not (str.contains s ""//""))"
Absolute_Path,False,"The absolute path shall not start with the root directory ""/"".","(not (= (str.at s 0) ""/""))"
Absolute_Path,False,The absolute path shall contain at least one space.,"(str.contains s "" "")"
Absolute_Path,False,"The absolute path shall end with ""/"".","(= (str.at s (- (str.len s) 1)) ""/"")"
Absolute_Path,False,"The absolute path shall contain consecutive ""/"" characters.","(str.contains s ""//"")"
Date,True,The date shall contain two hyphens.,"(= (str.len (str.replace s ""-"" """")) (+ (str.len s) -2))"
Date,True,"If there is at least one hyphen, the part before the hyphen shall be a number between 0 and 2025.","(=> (str.contains s ""-"") (and (<= 0 (str.to.int (str.substr s 0 (str.indexof s ""-"")))) (<= (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))"
Date,True,"If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.",
Date,True,"If there are at least two hyphen, The part after the second hyphen shall be a number between 1 and 31.",
Date,False,"The date shall contain either no hyphens, one hyphen or more than two hyphens.",
Date,False,There must be at least one hyphen and the part before the hyphen shall not be a number between 0 and 2025.,
Date,False,There must be at least two hyphens and the part after the first hyphen but before the second hyphen shall not be a number between 1 and 12.,
Date,False,There must be at least two hyphens an d the part after the second hyphen shall not be a number between 1 and 31.,
DNA,True,"The DNA sequence shall only contain letters A, T, C and G.","(forall ((i Int)) (=> (and (>= i 0) (< i (str.len s))) (or (= (str.at s i) ""A"") (= (str.at s i) ""T"") (= (str.at s i) ""C"") (= (str.at s i) ""G""))))"
DNA,True,The length of The DNA sequence shall be at least 10.,(>= (str.len s) 10)
DNA,True,The length of The DNA sequence shall be a multiple of three.,(= (mod s 3) 0)
DNA,True,The DNA sequence shall start with ATG.,"(str.startsWith s ""ATG"")"
DNA,True,"The DNA sequence shall end with either TAA, or TAG, or TGA.","(or (str.endsWith s ""TAA"") (str.endsWith s ""TAG"") (str.endsWith s ""TGA""))"
DNA,False,"The DNA sequence shall contain at least one letter that is neither A, nor T, nor C, nor G.","(exists ((i Int)) (and (>= i 0) (< i (str.len s)) (not (or (= (str.at s i) ""A"") (= (str.at s i) ""T"") (= (str.at s i) ""C"") (= (str.at s i) ""G"")))))"
DNA,False,The length of the DNA sequence shall be at most 9.,(<= (str.len s) 9)
DNA,False,The length of the DNA sequence shall not a multiple of three.,(not (= (mod s 3) 0))
DNA,False,The DNA sequence shall not start with ATG.,"(not (= (str.substr s 0 3) ""ATG""))"
DNA,False,"The DNA sequence shall not end with TAA, nor with TAG, nor with TGA.",
Email,True,The email shall not contain a space character.,"(not (str.contains s "" ""))"
Email,True,The email shall not start with a @ character.,"(not (= (str.at s 0) ""@""))"
Email,True,The email shall have exactly one @ character.,"(and (str.contains s ""@"")(not (str.in.re s (re.++ (re.* re.allchar) (str.to.re ""@"") (re.* re.allchar) (str.to.re ""@"") (re.* re.allchar)))))"
Email,True,The email shall include a dot character (.) after the @ character but before the end.,"(and (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))"
Email,True,The final character of the email shall not be a dot character (.).,"(not (= (str.at s (- (str.len s) 1)) "".""))"
Email,True,"The email shall not contain the word ""manager"".","(not (str.contains s ""manager""))"
Email,False,The email shall contain a space character.,"(str.contains s "" "")"
Email,False,The email shall start with a @ character.,"(= (str.at s 0) ""@"")]
}"
Email,False,The email shall have either no @ characters or more than one @ character.,"(or (not (str.contains s ""@"")) (> (str.indexof s ""@"" 0) (str.indexof s ""@"" (str.indexof s ""@"" 0 + 1))) )"
Email,False,If the email contains a @ character and there shall not include any dot characters (.) after the @ character and before the end.,"(and (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) ""."")))"
Email,False,The final character of the email shall be a dot character (.).,"(= (str.at s (- (str.len s) 1)) ""."")"
Email,False,"The email shall contain the word ""manager"".","(str.contains s ""manager"")"
Expression,True,"The arithmetic expression shall only contain numbers (0-9) and arithmetic operators (+, -, *, /).","(forall ((c (_ Char))) (=> (str.contains s (str.of_char c)) (or (and (>= (char.to_int c) 48) (<= (char.to_int c) 57)) (or (char.eq c (char.of_string ""+"")) (or (char.eq c (char.of_string ""-"")) (or (char.eq c (char.of_string ""*"") (char.eq c (char.of_string ""/""))))))))))"
Expression,True,"The arithmetic operators (+, -, *, /) in the arithmetic expression shall not appear consecutively.",(forall ((op1 (or (+ - * /)))(op2 (or (+ - * /)))(var (or int real))) (=> (and (not (= op1 op2)) (not (= op1 var)) (not (= op2 var))) (not (and (= op1 op2))))
Expression,True,"Except for the minus sign (-), every operator (+, *, /) in the arithmetic expression shall have a number before and after it.",(=> (or (and (is-numeric s) (is-numeric s)) (and (is-numeric s) (is-numeric s)) (and (is-numeric s) (is-numeric s))) true)
Expression,True,"The arithmetic expression shall not start with operators from the set {+, *, /}.",
Expression,False,"The arithmetic expression shall contain at least one character that is neither a number (0-9), nor an arithmetic operator (+, -, *, /).","(exists ((c String)) (and (str.contains s c) (not (or (= c ""0"") (= c ""1"") (= c ""2"") (= c ""3"") (= c ""4"") (= c ""5"") (= c ""6"") (= c ""7"") (= c ""8"") (= c ""9"") (= c ""+"") (= c ""-"") (= c ""*"") (= c ""/"")))))"
Expression,False,"The arithmetic expression shall contain consecutive arithmetic operators (+, -, *, /).","(or (str.contains s ""++"") (str.contains s ""--"") (str.contains s ""**"") (str.contains s ""//""))"
Expression,False,"The arithmetic expression shall contain an operator from the set {+, *, /} that either does not have a number immediately before it or does not have a number immediately after it.","(or (exists ((op String)) (and (or (= op ""+"") (= op ""*"") (= op ""/"")) (or (not (is_number (str.at s (index_of op - 1)))) (not (is_number (str.at s (index_of op + 1)))))))"
Expression,False,"The arithmetic expression shall start with one of the operators in the set {+, *, /}.","(or (= (str.at s 0) ""+"") (= (str.at s 0) ""*"") (= (str.at s 0) ""/""))"
IBAN,True,The length of the bank number shall be 22.,(= (str.len s) 22)
IBAN,True,The bank number shall start with 1210.,"(str.startsWith s ""1210"")"
IBAN,True,"The bank number shall have at least 6 characters, and the fifth and sixth characters shall both be 0.",
IBAN,False,The length of the bank account shall not be 22.,(not (= (str.len s) 22))
IBAN,False,The bank number shall not start with 1210.,"(not (= (str.substr s 0 4) ""1210""))"
IBAN,False,"The bank number shall either have less than 6 characters, or either the fifth or sixth character shall not be 0.
","(or (< (str.len s) 6) (and (= (str.len s) 6) (or (not (= (str.at s 4) ""0"")) (not (= (str.at s 5) ""0"")))))"
