status,result,name,truth_masks
sat,John Doe,Name,"(True, True, True, True, True, True)"
sat,John doe,Name,"(True, True, True, True, True, False)"
sat,a B C,Name,"(True, True, True, True, False, True)"
sat,john doe,Name,"(True, True, True, True, False, False)"
unsat,,Name,"(True, True, True, False, True, True)"
unsat,,Name,"(True, True, True, False, True, False)"
unsat,,Name,"(True, True, True, False, False, True)"
unsat,,Name,"(True, True, True, False, False, False)"
sat,A B C ,Name,"(True, True, False, True, True, True)"
sat,John doe ,Name,"(True, True, False, True, True, False)"
sat,john Doe ,Name,"(True, True, False, True, False, True)"
sat,john doe ,Name,"(True, True, False, True, False, False)"
sat, Name Another ,Name,"(True, True, False, False, True, True)"
unsat,,Name,"(True, True, False, False, True, False)"
sat, a B c ,Name,"(True, True, False, False, False, True)"
sat, a b ,Name,"(True, True, False, False, False, False)"
sat,Alice,Name,"(True, False, True, True, True, True)"
unsat,,Name,"(True, False, True, True, True, False)"
unsat,,Name,"(True, False, True, True, False, True)"
unsat,,Name,"(True, False, True, True, False, False)"
unsat,,Name,"(True, False, True, False, True, True)"
unsat,,Name,"(True, False, True, False, True, False)"
unsat,,Name,"(True, False, True, False, False, True)"
unsat,,Name,"(True, False, True, False, False, False)"
unsat,,Name,"(True, False, False, True, True, True)"
unsat,,Name,"(True, False, False, True, True, False)"
unsat,,Name,"(True, False, False, True, False, True)"
unsat,,Name,"(True, False, False, True, False, False)"
unsat,,Name,"(True, False, False, False, True, True)"
unsat,,Name,"(True, False, False, False, True, False)"
unsat,,Name,"(True, False, False, False, False, True)"
unsat,,Name,"(True, False, False, False, False, False)"
unsat,,Name,"(False, True, True, True, True, True)"
unsat,,Name,"(False, True, True, True, True, False)"
unsat,,Name,"(False, True, True, True, False, True)"
unsat,,Name,"(False, True, True, True, False, False)"
unsat,,Name,"(False, True, True, False, True, True)"
unsat,,Name,"(False, True, True, False, True, False)"
unsat,,Name,"(False, True, True, False, False, True)"
sat, 12345!,Name,"(False, True, True, False, False, False)"
unsat,,Name,"(False, True, False, True, True, True)"
unsat,,Name,"(False, True, False, True, True, False)"
unsat,,Name,"(False, True, False, True, False, True)"
sat,123 456 ,Name,"(False, True, False, True, False, False)"
unsat,,Name,"(False, True, False, False, True, True)"
unsat,,Name,"(False, True, False, False, True, False)"
unsat,,Name,"(False, True, False, False, False, True)"
unsat,,Name,"(False, True, False, False, False, False)"
unsat,,Name,"(False, False, True, True, True, True)"
unsat,,Name,"(False, False, True, True, True, False)"
sat,12345,Name,"(False, False, True, True, False, True)"
unsat,,Name,"(False, False, True, True, False, False)"
unsat,,Name,"(False, False, True, False, True, True)"
unsat,,Name,"(False, False, True, False, True, False)"
unsat,,Name,"(False, False, True, False, False, True)"
unsat,,Name,"(False, False, True, False, False, False)"
unsat,,Name,"(False, False, False, True, True, True)"
unsat,,Name,"(False, False, False, True, True, False)"
unsat,,Name,"(False, False, False, True, False, True)"
unsat,,Name,"(False, False, False, True, False, False)"
unsat,,Name,"(False, False, False, False, True, True)"
unsat,,Name,"(False, False, False, False, True, False)"
unsat,,Name,"(False, False, False, False, False, True)"
unsat,,Name,"(False, False, False, False, False, False)"
sat,user123@example.com,Email,"(True, True, True, True, True, True)"
sat,manager@company.com,Email,"(True, True, True, True, True, False)"
unsat,,Email,"(True, True, True, True, False, True)"
sat,manager@example.com.,Email,"(True, True, True, True, False, False)"
sat,john@example,Email,"(True, True, True, False, True, True)"
sat,manager@examplecom,Email,"(True, True, True, False, True, False)"
sat,user@example.,Email,"(True, True, True, False, False, True)"
unsat,,Email,"(True, True, True, False, False, False)"
sat,user@domain.com@another.com,Email,"(True, True, False, True, True, True)"
sat,manager@company.email@another.com,Email,"(True, True, False, True, True, False)"
sat,user.name@abc@domain.com.,Email,"(True, True, False, True, False, True)"
sat,manager@domain.com@anotherdomain.,Email,"(True, True, False, True, False, False)"
sat,user@domain@another,Email,"(True, True, False, False, True, True)"
sat,manager@manager@domain,Email,"(True, True, False, False, True, False)"
sat,test@@example.,Email,"(True, True, False, False, False, True)"
sat,manager@company@domain.,Email,"(True, True, False, False, False, False)"
sat,@example.com,Email,"(True, False, True, True, True, True)"
sat,@manager.example.com,Email,"(True, False, True, True, True, False)"
sat,@example.com.,Email,"(True, False, True, True, False, True)"
