name,status,result,truth_masks
Name,sat,"""Pc Z""","(True, True, True, True, True, True)"
Name,sat,"""Pl p""","(True, True, True, True, True, False)"
Name,sat,"""h S""","(True, True, True, True, False, True)"
Name,sat,"""b h""","(True, True, True, True, False, False)"
Name,unsat,,"(True, True, True, False, True, True)"
Name,unsat,,"(True, True, True, False, True, False)"
Name,sat,""" K""","(True, True, True, False, False, True)"
Name,sat,""" k""","(True, True, True, False, False, False)"
Name,sat,"""P ""","(True, True, False, True, True, True)"
Name,sat,"""HS  ""","(True, True, False, True, True, False)"
Name,sat,"""p ""","(True, True, False, True, False, True)"
Name,sat,"""pK  ""","(True, True, False, True, False, False)"
Name,unsat,,"(True, True, False, False, True, True)"
Name,unsat,,"(True, True, False, False, True, False)"
Name,sat,""" ""","(True, True, False, False, False, True)"
Name,sat,"""  ""","(True, True, False, False, False, False)"
Name,sat,"""P""","(True, False, True, True, True, True)"
Name,unknown,,"(True, False, True, True, True, False)"
Name,sat,"""""","(True, False, True, True, False, True)"
Name,unknown,,"(True, False, True, True, False, False)"
Name,unsat,,"(True, False, True, False, True, True)"
Name,unsat,,"(True, False, True, False, True, False)"
Name,unsat,,"(True, False, True, False, False, True)"
Name,unsat,,"(True, False, True, False, False, False)"
Name,unsat,,"(True, False, False, True, True, True)"
Name,unknown,,"(True, False, False, True, True, False)"
Name,unsat,,"(True, False, False, True, False, True)"
Name,unknown,,"(True, False, False, True, False, False)"
Name,unsat,,"(True, False, False, False, True, True)"
Name,unsat,,"(True, False, False, False, True, False)"
Name,unsat,,"(True, False, False, False, False, True)"
Name,unsat,,"(True, False, False, False, False, False)"
Name,sat,"""H` E""","(False, True, True, True, True, True)"
Name,sat,"""P` \u{200}""","(False, True, True, True, True, False)"
Name,sat,"""@B C""","(False, True, True, True, False, True)"
Name,sat,"""\u{400} cB""","(False, True, True, True, False, False)"
Name,unsat,,"(False, True, True, False, True, True)"
Name,unsat,,"(False, True, True, False, True, False)"
Name,sat,""" H\u{10060}B""","(False, True, True, False, False, True)"
Name,sat,""" \""","(False, True, True, False, False, False)"
Name,sat,"""P\u{10000}B ""","(False, True, False, True, True, True)"
Name,sat,"""D\u{2003b}  ""","(False, True, False, True, True, False)"
Name,sat,"""@ ""","(False, True, False, True, False, True)"
Name,sat,"""@B  ""","(False, True, False, True, False, False)"
Name,unsat,,"(False, True, False, False, True, True)"
Name,unsat,,"(False, True, False, False, True, False)"
Name,sat,""" P` ""","(False, True, False, False, False, True)"
Name,sat,""" `  ""","(False, True, False, False, False, False)"
Name,sat,"""K""","(False, False, True, True, True, True)"
Name,unknown,,"(False, False, True, True, True, False)"
Name,sat,"""@""","(False, False, True, True, False, True)"
Name,unknown,,"(False, False, True, True, False, False)"
Name,unsat,,"(False, False, True, False, True, True)"
Name,unsat,,"(False, False, True, False, True, False)"
Name,unsat,,"(False, False, True, False, False, True)"
Name,unsat,,"(False, False, True, False, False, False)"
Name,unsat,,"(False, False, False, True, True, True)"
Name,unknown,,"(False, False, False, True, True, False)"
Name,unsat,,"(False, False, False, True, False, True)"
Name,unknown,,"(False, False, False, True, False, False)"
Name,unsat,,"(False, False, False, False, True, True)"
Name,unsat,,"(False, False, False, False, True, False)"
Name,unknown,,"(False, False, False, False, False, True)"
Name,unsat,,"(False, False, False, False, False, False)"
Email,sat,"""A@.B""","(True, True, True, True, True, True)"
Email,sat,"""EDA@.manager""","(True, True, True, True, True, False)"
Email,sat,"""AB@.""","(True, True, True, True, False, True)"
Email,sat,"""manager@.""","(True, True, True, True, False, False)"
Email,sat,"""B@""","(True, True, True, False, True, True)"
Email,sat,"""manager@""","(True, True, True, False, True, False)"
Email,unknown,,"(True, True, True, False, False, True)"
Email,unknown,,"(True, True, True, False, False, False)"
Email,sat,"""A@.@""","(True, True, False, True, True, True)"
Email,unknown,,"(True, True, False, True, True, False)"
Email,sat,"""A@@.""","(True, True, False, True, False, True)"
Email,unknown,,"(True, True, False, True, False, False)"
Email,sat,"""""","(True, True, False, False, True, True)"
Email,unknown,,"(True, True, False, False, True, False)"
Email,sat,""".""","(True, True, False, False, False, True)"
Email,unknown,,"(True, True, False, False, False, False)"
Email,sat,"""@.BA""","(True, False, True, True, True, True)"
Email,sat,"""@.Amanager""","(True, False, True, True, True, False)"
Email,sat,"""@.""","(True, False, True, True, False, True)"
Email,sat,"""@manager.""","(True, False, True, True, False, False)"
Email,sat,"""@""","(True, False, True, False, True, True)"
Email,sat,"""@manager""","(True, False, True, False, True, False)"
Email,unknown,,"(True, False, True, False, False, True)"
Email,unknown,,"(True, False, True, False, False, False)"
Email,sat,"""@.@@""","(True, False, False, True, True, True)"
Email,sat,"""@@manager.@""","(True, False, False, True, True, False)"
Email,sat,"""@@.""","(True, False, False, True, False, True)"
Email,sat,"""@A@managerDCFI.""","(True, False, False, True, False, False)"
Email,sat,"""@@""","(True, False, False, False, True, True)"
Email,sat,"""@@manager""","(True, False, False, False, True, False)"
Email,unknown,,"(True, False, False, False, False, True)"
Email,unknown,,"(True, False, False, False, False, False)"
Email,sat,""" @.C""","(False, True, True, True, True, True)"
Email,sat,""" @.manager""","(False, True, True, True, True, False)"
Email,sat,""" @.""","(False, True, True, True, False, True)"
Email,sat,"""BA@manager. .""","(False, True, True, True, False, False)"
Email,sat,""" @""","(False, True, True, False, True, True)"
Email,sat,"""manager@ ""","(False, True, True, False, True, False)"
Email,unknown,,"(False, True, True, False, False, True)"
Email,unknown,,"(False, True, True, False, False, False)"
Email,sat,""" @.@""","(False, True, False, True, True, True)"
Email,sat,""" @.@manager""","(False, True, False, True, True, False)"
Email,sat,""" @@.""","(False, True, False, True, False, True)"
Email,sat,""" @@.manager\.""","(False, True, False, True, False, False)"
Email,sat,""" ""","(False, True, False, False, True, True)"
Email,unknown,,"(False, True, False, False, True, False)"
Email,sat,""" .""","(False, True, False, False, False, True)"
Email,unknown,,"(False, True, False, False, False, False)"
Email,sat,"""@. C""","(False, False, True, True, True, True)"
Email,sat,"""@manager. ""","(False, False, True, True, True, False)"
Email,sat,"""@ .""","(False, False, True, True, False, True)"
Email,sat,"""@ .managerQOP.""","(False, False, True, True, False, False)"
Email,sat,"""@ ""","(False, False, True, False, True, True)"
Email,sat,"""@ managerK""","(False, False, True, False, True, False)"
Email,unknown,,"(False, False, True, False, False, True)"
Email,unknown,,"(False, False, True, False, False, False)"
Email,sat,"""@ .@""","(False, False, False, True, True, True)"
Email,sat,"""@ @.JKmanagerZ[""","(False, False, False, True, True, False)"
Email,sat,"""@ @.""","(False, False, False, True, False, True)"
Email,sat,"""@@managerK .""","(False, False, False, True, False, False)"
Email,sat,"""@ @""","(False, False, False, False, True, True)"
Email,sat,"""@ @manager""","(False, False, False, False, True, False)"
Email,unknown,,"(False, False, False, False, False, True)"
Email,unknown,,"(False, False, False, False, False, False)"
Password,sat,"""0Yp!""","(True, True, True, True, True)"
Password,sat,"""!b\u{0}Z""","(True, True, True, True, False)"
Password,sat,"""1#`P""","(True, True, True, False, True)"
Password,sat,"""{K\u{120}!""","(True, True, True, False, False)"
Password,sat,"""0$p\u{0}""","(True, True, False, True, True)"
Password,sat,"""«u\u{12c}#""","(True, True, False, True, False)"
Password,sat,"""\u{2006d}#2\u{0}""","(True, True, False, False, True)"
Password,sat,"""!\u{4040} @""","(True, True, False, False, False)"
Password,sat,"""0Z¥k""","(True, False, True, True, True)"
Password,sat,"""p"" A""","(True, False, True, True, False)"
Password,sat,"""9K``""","(True, False, True, False, True)"
Password,sat,"""{@{P""","(True, False, True, False, False)"
Password,sat,"""h@0""","(True, False, False, True, True)"
Password,sat,"""|\u{0}\u{122}p""","(True, False, False, True, False)"
Password,sat,"""\u{8050}0`@""","(True, False, False, False, True)"
Password,sat,"""\u{406b}@ @""","(True, False, False, False, False)"
Password,unsat,,"(False, True, True, True, True)"
Password,sat,"""P#q""","(False, True, True, True, False)"
Password,sat,"""A8!""","(False, True, True, False, True)"
Password,sat,"""#H""","(False, True, True, False, False)"
Password,sat,"""$2h""","(False, True, False, True, True)"
Password,sat,"""d#""","(False, True, False, True, False)"
Password,sat,"""4$""","(False, True, False, False, True)"
Password,sat,"""#""","(False, True, False, False, False)"
Password,sat,"""x0P""","(False, False, True, True, True)"
Password,sat,"""pA""","(False, False, True, True, False)"
Password,sat,"""0D""","(False, False, True, False, True)"
Password,sat,"""B""","(False, False, True, False, False)"
Password,sat,"""h0""","(False, False, False, True, True)"
Password,sat,"""b""","(False, False, False, True, False)"
Password,sat,"""3""","(False, False, False, False, True)"
Password,sat,"""""","(False, False, False, False, False)"
Url,sat,"""http://.""","(True, True, True)"
Url,sat,"""https://""","(True, True, False)"
Url,sat,"""http:// C.B""","(True, False, True)"
Url,sat,"""http:// ""","(True, False, False)"
Url,sat,""".""","(False, True, True)"
Url,sat,"""B""","(False, True, False)"
Url,sat,""". ""","(False, False, True)"
Url,sat,""" ""","(False, False, False)"
Date,sat,"""2-004-8""","(True, True, True, True)"
Date,sat,"""0-8-""","(True, True, True, False)"
Date,sat,"""2--8""","(True, True, False, True)"
Date,sat,"""2--""","(True, True, False, False)"
Date,sat,"""-2-8""","(True, False, True, True)"
Date,sat,"""\u{122}-4-""","(True, False, True, False)"
Date,sat,"""-:-2""","(True, False, False, True)"
Date,sat,"""--""","(True, False, False, False)"
Date,unknown,,"(False, True, True, True)"
Date,sat,"""04-8--""","(False, True, True, False)"
Date,unknown,,"(False, True, False, True)"
Date,sat,"""4-""","(False, True, False, False)"
Date,unknown,,"(False, False, True, True)"
Date,sat,"""-1--""","(False, False, True, False)"
Date,sat,"""8""","(False, False, False, True)"
Date,sat,"""\u{42a}""","(False, False, False, False)"
IBAN,sat,"""121000ABCDEFGHIJKLMNOP""","(True, True, True)"
IBAN,sat,"""1210ABCDEFGHIJKLMNOPQR""","(True, True, False)"
IBAN,sat,"""ABCD00EFGHIJKLMNOPQRST""","(True, False, True)"
IBAN,sat,"""ABCDEFGHIJKLMNOPQRSTUV""","(True, False, False)"
IBAN,sat,"""121000""","(False, True, True)"
IBAN,sat,"""1210""","(False, True, False)"
IBAN,sat,"""ABCD00""","(False, False, True)"
IBAN,sat,"""""","(False, False, False)"
