name,result,truth_masks
Name,John Doe,"(True, True, True, True, True, True)"
Name,John doe,"(True, True, True, True, True, False)"
Name,john Doe,"(True, True, True, True, False, True)"
Name,john doe,"(True, True, True, True, False, False)"
Name, John Doe,"(True, True, True, False, True, True)"
Name, Alice a,"(True, True, True, False, True, False)"
Name, tA,"(True, True, True, False, False, True)"
Name, aLice,"(True, True, True, False, False, False)"
Name,John Doe ,"(True, True, False, True, True, True)"
Name,John d ,"(True, True, False, True, True, False)"
Name,john Doe ,"(True, True, False, True, False, True)"
Name,j d ,"(True, True, False, True, False, False)"
Name, John Doe ,"(True, True, False, False, True, True)"
Name, A b ,"(True, True, False, False, True, False)"
Name, a B ,"(True, True, False, False, False, True)"
Name, a b ,"(True, True, False, False, False, False)"
Name,John,"(True, False, True, True, True, True)"
Name,UNSAT,"(True, False, True, True, True, False)"
Name,johnsmith,"(True, False, True, True, False, True)"
Name,UNSAT,"(True, False, True, True, False, False)"
Name,UNSAT,"(True, False, True, False, True, True)"
Name,UNSAT,"(True, False, True, False, True, False)"
Name,UNSAT,"(True, False, True, False, False, True)"
Name,UNSAT,"(True, False, True, False, False, False)"
Name,UNSAT,"(True, False, False, True, True, True)"
Name,UNSAT,"(True, False, False, True, True, False)"
Name,UNSAT,"(True, False, False, True, False, True)"
Name,UNSAT,"(True, False, False, True, False, False)"
Name,UNSAT,"(True, False, False, False, True, True)"
Name,UNSAT,"(True, False, False, False, True, False)"
Name,UNSAT,"(True, False, False, False, False, True)"
Name,UNSAT,"(True, False, False, False, False, False)"
Name,UNSAT,"(False, True, True, True, True, True)"
Name,UNSAT,"(False, True, True, True, True, False)"
Name,123 456,"(False, True, True, True, False, True)"
Name,1 @ 2,"(False, True, True, True, False, False)"
Name, !@# $%&,"(False, True, True, False, True, True)"
Name, 1!,"(False, True, True, False, True, False)"
Name, #$%,"(False, True, True, False, False, True)"
Name, ! #,"(False, True, True, False, False, False)"
Name,1!@#$% ^&*()_+ ,"(False, True, False, True, True, True)"
Name,UNSAT,"(False, True, False, True, True, False)"
Name,UNSAT,"(False, True, False, True, False, True)"
Name,# $ ,"(False, True, False, True, False, False)"
Name,UNSAT,"(False, True, False, False, True, True)"
Name, 1@ ,"(False, True, False, False, True, False)"
Name, 123 !@# $%^ ,"(False, True, False, False, False, True)"
Name, # ,"(False, True, False, False, False, False)"
Name,UNSAT,"(False, False, True, True, True, True)"
Name,UNSAT,"(False, False, True, True, True, False)"
Name,12345-67890,"(False, False, True, True, False, True)"
Name,UNSAT,"(False, False, True, True, False, False)"
Name,UNSAT,"(False, False, True, False, True, True)"
Name,UNSAT,"(False, False, True, False, True, False)"
Name,UNSAT,"(False, False, True, False, False, True)"
Name,UNSAT,"(False, False, True, False, False, False)"
Name,UNSAT,"(False, False, False, True, True, True)"
Name,UNSAT,"(False, False, False, True, True, False)"
Name,UNSAT,"(False, False, False, True, False, True)"
Name,UNSAT,"(False, False, False, True, False, False)"
Name,UNSAT,"(False, False, False, False, True, True)"
Name,UNSAT,"(False, False, False, False, True, False)"
Name,UNSAT,"(False, False, False, False, False, True)"
Name,UNSAT,"(False, False, False, False, False, False)"
Email,example@domain.com,"(True, True, True, True, True, True)"
Email,office.manager@example.com,"(True, True, True, True, True, False)"
Email,user@example.,"(True, True, True, True, False, True)"
Email,manager@domain.manager.,"(True, True, True, True, False, False)"
Email,user@example.com,"(True, True, True, False, True, True)"
Email,manager@examplecom,"(True, True, True, False, True, False)"
Email,user@examplecom.,"(True, True, True, False, False, True)"
Email,themanager@domain.,"(True, True, True, False, False, False)"
Email,test@domain@site.com,"(True, True, False, True, True, True)"
Email,manager@company@example.com,"(True, True, False, True, True, False)"
Email,user@domain@site.com.,"(True, True, False, True, False, True)"
Email,manager@company@domain.com.,"(True, True, False, True, False, False)"
Email,example.email,"(True, True, False, False, True, True)"
Email,manager@company@domain,"(True, True, False, False, True, False)"
Email,test@@example..,"(True, True, False, False, False, True)"
Email,manager@@example.com.,"(True, True, False, False, False, False)"
Email,@example.com,"(True, False, True, True, True, True)"
Email,@manager.com,"(True, False, True, True, True, False)"
Email,@e.,"(True, False, True, True, False, True)"
Email,@manager.,"(True, False, True, True, False, False)"
Email,@example,"(True, False, True, False, True, True)"
Email,@managercom,"(True, False, True, False, True, False)"
Email,@example.,"(True, False, True, False, False, True)"
Email,@manager.,"(True, False, True, False, False, False)"
Email,@@.example.com,"(True, False, False, True, True, True)"
