name,result,truth_masks
Name,John Smith,"(True, True, True, True, True, True)"
Name,A b,"(True, True, True, True, True, False)"
Name,john smith,"(True, True, True, True, False, True)"
Name,hello world,"(True, True, True, True, False, False)"
Name, A a,"(True, True, True, False, True, True)"
Name,First a Beautiful Space Name,"(True, True, True, False, True, False)"
Name, Mr Smith,"(True, True, True, False, False, True)"
Name,Mrs. John,"(True, True, True, False, False, False)"
Name,Hello Sr. ,"(True, True, False, True, True, True)"
Name,A John Doe ,"(True, True, False, True, True, False)"
Name,a Ab cD eF g,"(True, True, False, True, False, True)"
Name,a b C ,"(True, True, False, True, False, False)"
Name, A John Space ,"(True, True, False, False, True, True)"
Name,Aa Bc ,"(True, True, False, False, True, False)"
Name,Madam C ,"(True, True, False, False, False, True)"
Name, m eaning ful ,"(True, True, False, False, False, False)"
Name,John,"(True, False, True, True, True, True)"
Name,John Doe,"(True, False, True, True, True, False)"
Name,helloWorld,"(True, False, True, True, False, True)"
Name,helloWorld,"(True, False, True, True, False, False)"
Name,Aristotle,"(True, False, True, False, True, True)"
Name,John Smith,"(True, False, True, False, True, False)"
Name, a Brown C ,"(True, False, True, False, False, True)"
Name, a e,"(True, False, True, False, False, False)"
Name,Table,"(True, False, False, True, True, True)"
Name,Hello World ,"(True, False, False, True, True, False)"
Name,john smith ,"(True, False, False, True, False, True)"
Name,john smith ,"(True, False, False, True, False, False)"
Name,UNSAT,"(True, False, False, False, True, True)"
Name, A b ,"(True, False, False, False, True, False)"
Name,e A ,"(True, False, False, False, False, True)"
Name, a n ,"(True, False, False, False, False, False)"
Name,! $ !,"(False, True, True, True, True, True)"
Name,Mr Jr,"(False, True, True, True, True, False)"
Name,hello world,"(False, True, True, True, False, True)"
Name,a! b,"(False, True, True, True, False, False)"
Name, A ! #,"(False, True, True, False, True, True)"
Name,¢ .,"(False, True, True, False, True, False)"
Name, ! A  @ B,"(False, True, True, False, False, True)"
Name, a! A?,"(False, True, True, False, False, False)"
Name,A ! X ,"(False, True, False, True, True, True)"
Name,T! e.,"(False, True, False, True, True, False)"
Name,a $ @,"(False, True, False, True, False, True)"
Name,a! # ,"(False, True, False, True, False, False)"
Name, T'T',"(False, True, False, False, True, True)"
Name,! !# $! space!,"(False, True, False, False, True, False)"
Name,Space Invaders!,"(False, True, False, False, False, True)"
Name,&space;&space;#,"(False, True, False, False, False, False)"
Name,A B C!,"(False, False, True, True, True, True)"
Name,A!1,"(False, False, True, True, True, False)"
Name,5D!,"(False, False, True, True, False, True)"
Name,!#,"(False, False, True, True, False, False)"
Name,A B,"(False, False, True, False, True, True)"
Name,  A,"(False, False, True, False, True, False)"
Name,D123A,"(False, False, True, False, False, True)"
Name,UNSAT,"(False, False, True, False, False, False)"
Name,N!,"(False, False, False, True, True, True)"
Name,PDF!,"(False, False, False, True, True, False)"
Name,a A B C ! ,"(False, False, False, True, False, True)"
Name,!a ,"(False, False, False, True, False, False)"
Name, X 1,"(False, False, False, False, True, True)"
Name,"' ' + ""X"" + 'someSpecialCharsAndSpacesAfterMe...'","(False, False, False, False, True, False)"
Name, S t R t ,"(False, False, False, False, False, True)"
Name,_ !a- ,"(False, False, False, False, False, False)"
Email,johndoe@example,"(True, True, True, True, True, True)"
Email,john.manager@company.com,"(True, True, True, True, True, False)"
Email,johndoe@email.com,"(True, True, True, True, False, True)"
Email,John Manager Doe@jsmith.,"(True, True, True, True, False, False)"
Email,johndoe@example.net,"(True, True, True, False, True, True)"
Email,john.manager@company.com,"(True, True, True, False, True, False)"
Email,john@smith.com.,"(True, True, True, False, False, True)"
Email,john@manager.,"(True, True, True, False, False, False)"
Email,john.doe@example.test,"(True, True, False, True, True, True)"
Email,test.manager@example.com,"(True, True, False, True, True, False)"
Email,john.doe@example.tld,"(True, True, False, True, False, True)"
Email,mmanager@subdomain.domain.,"(True, True, False, True, False, False)"
Email,tess@te,"(True, True, False, False, True, True)"
Email,Manager@Team@Example,"(True, True, False, False, True, False)"
Email,john.doe@other.example.,"(True, True, False, False, False, True)"
Email,john.manager@company.com.,"(True, True, False, False, False, False)"
Email,john@example.com.au,"(True, False, True, True, True, True)"
Email,managers@manager.com,"(True, False, True, True, True, False)"
Email,@userorg.,"(True, False, True, True, False, True)"
Email,@managermanager.example-manager.,"(True, False, True, True, False, False)"
Email,johndoe@example.co,"(True, False, True, False, True, True)"
Email,manager@example,"(True, False, True, False, True, False)"
Email,user@example.com,"(True, False, True, False, False, True)"
Email,manager@examplEcom.,"(True, False, True, False, False, False)"
Email,@example@.com,"(True, False, False, True, True, True)"
Email,@example@manager.com,"(True, False, False, True, True, False)"
Email,a@b.c,"(True, False, False, True, False, True)"
Email,@manager.com.,"(True, False, False, True, False, False)"
Email,@example.com.g,"(True, False, False, False, True, True)"
Email,@manager.com,"(True, False, False, False, True, False)"
Email,test@example.org.test,"(True, False, False, False, False, True)"
Email,@manager123.,"(True, False, False, False, False, False)"
Email,abc@def.G H,"(False, True, True, True, True, True)"
Email,John Doe @ manager .,"(False, True, True, True, True, False)"
Email,John D.com,"(False, True, True, True, False, True)"
Email,John Manager @example.,"(False, True, True, True, False, False)"
Email,John Doe <at> Com,"(False, True, True, False, True, True)"
Email,John @ manager,"(False, True, True, False, True, False)"
Email,John@Smith.example.,"(False, True, True, False, False, True)"
Email,John Manager@123.,"(False, True, True, False, False, False)"
Email,John Doe smith@example.com,"(False, True, False, True, True, True)"
Email,john manager smith,"(False, True, False, True, True, False)"
Email,john doe@example.com.,"(False, True, False, True, False, True)"
Email,info.manager@team.example.,"(False, True, False, True, False, False)"
Email,john.smith@example.com test,"(False, True, False, False, True, True)"
Email,john smith @example.com manager,"(False, True, False, False, True, False)"
Email,John Doe@@example.com,"(False, True, False, False, False, True)"
Email,John Smith manager example.com.,"(False, True, False, False, False, False)"
Email,@johnexample.co.uk J Smith,"(False, False, True, True, True, True)"
Email,john manager@examp le.co m,"(False, False, True, True, True, False)"
Email, @.team.,"(False, False, True, True, False, True)"
Email,@ manager .,"(False, False, True, True, False, False)"
Email,@yahoospace,"(False, False, True, False, True, True)"
Email,@ manager .com,"(False, False, True, False, True, False)"
Email,aytz .,"(False, False, True, False, False, True)"
Email,john.manager@example.com ,"(False, False, True, False, False, False)"
Email,@john example.com,"(False, False, False, True, True, True)"
Email,@example .manager,"(False, False, False, True, True, False)"
Email,@johndoe Manager@company.com,"(False, False, False, True, False, True)"
Email,@manager@example .,"(False, False, False, True, False, False)"
Email,@John Doe Test,"(False, False, False, False, True, True)"
Email,@ manager team email.com,"(False, False, False, False, True, False)"
Email,@John Doe 2@example.com.,"(False, False, False, False, False, True)"
Email,@john manager@ company.com.,"(False, False, False, False, False, False)"
Password,Aa1!,"(True, True, True, True, True)"
Password,a!B$Cd,"(True, True, True, True, False)"
Password,$A1B,"(True, True, True, False, True)"
Password,ZZZZ!,"(True, True, True, False, False)"
Password,aaab$1,"(True, True, False, True, True)"
Password,a!a,"(True, True, False, True, False)"
Password,4!5#,"(True, True, False, False, True)"
Password,!!!,"(True, True, False, False, False)"
Password,AbCdl1,"(True, False, True, True, True)"
Password,ABCDe,"(True, False, True, True, False)"
Password,A111A,"(True, False, True, False, True)"
Password,AACCC,"(True, False, True, False, False)"
Password,ple42,"(True, False, False, True, True)"
Password,abcded,"(True, False, False, True, False)"
Password,3099,"(True, False, False, False, True)"
Password,~~~-,"(True, False, False, False, False)"
Password,A#b1,"(False, True, True, True, True)"
Password,A!a,"(False, True, True, True, False)"
Password,!A1,"(False, True, True, False, True)"
Password,$A,"(False, True, True, False, False)"
Password,ab$c7,"(False, True, False, True, True)"
Password,$aa,"(False, True, False, True, False)"
Password,!,"(False, True, False, False, True)"
Password,$$$,"(False, True, False, False, False)"
Password,Ab2,"(False, False, True, True, True)"
Password,Aa,"(False, False, True, True, False)"
Password,A1,"(False, False, True, False, True)"
Password,AB,"(False, False, True, False, False)"
