name,result,truth_masks
Name,The John Doe,"(True, True, True, True, True, True)"
Name,A A a,"(True, True, True, True, True, False)"
Name,ab A b,"(True, True, True, True, False, True)"
Name,d e,"(True, True, True, True, False, False)"
Name, A a S p a c e s,"(True, True, True, False, True, True)"
Name, John smith,"(True, True, True, False, True, False)"
Name,space Sunshine,"(True, True, True, False, False, True)"
Name, a b c d e,"(True, True, True, False, False, False)"
Name,A ,"(True, True, False, True, True, True)"
Name,John Doe ,"(True, True, False, True, True, False)"
Name,A b C d E F g H i J k L m N o P q R s T u V w X y Z ,"(True, True, False, True, False, True)"
Name,good morning everyone,"(True, True, False, True, False, False)"
Name,Ab ,"(True, True, False, False, True, True)"
Name, Aa b ... ,"(True, True, False, False, True, False)"
Name, a B C ,"(True, True, False, False, False, True)"
Name, a hello ,"(True, True, False, False, False, False)"
Name,UNSAT,"(True, False, True, True, True, True)"
Name,John Doe,"(True, False, True, True, True, False)"
Name,alexandra,"(True, False, True, True, False, True)"
Name,UNSAT,"(True, False, True, True, False, False)"
Name,John,"(True, False, True, False, True, True)"
Name,UNSAT,"(True, False, True, False, True, False)"
Name,s name,"(True, False, True, False, False, True)"
Name, aab,"(True, False, True, False, False, False)"
Name,UNSAT,"(True, False, False, True, True, True)"
Name,John Smith ,"(True, False, False, True, True, False)"
Name,xYzAb C,"(True, False, False, True, False, True)"
Name,a apple ,"(True, False, False, True, False, False)"
Name,UNSAT,"(True, False, False, False, True, True)"
Name,UNSAT,"(True, False, False, False, True, False)"
Name,UNSAT,"(True, False, False, False, False, True)"
Name,UNSAT,"(True, False, False, False, False, False)"
Name,John123!,"(False, True, True, True, True, True)"
Name,! # n $,"(False, True, True, True, True, False)"
Name,hello World! 123,"(False, True, True, True, False, True)"
Name,$ 9!@#$,"(False, True, True, True, False, False)"
Name, H! ,"(False, True, True, False, True, True)"
Name, A % c,"(False, True, True, False, True, False)"
Name, .Ab!,"(False, True, True, False, False, True)"
Name, !,"(False, True, True, False, False, False)"
Name,9 % $,"(False, True, False, True, True, True)"
Name,Xx-# ! ,"(False, True, False, True, True, False)"
Name,DD$1 12 ,"(False, True, False, True, False, True)"
Name,1* 9,"(False, True, False, True, False, False)"
Name,* A $,"(False, True, False, False, True, True)"
Name, A 7 E D,"(False, True, False, False, True, False)"
Name, 9 A 9 D ,"(False, True, False, False, False, True)"
Name,!a%b^c,"(False, True, False, False, False, False)"
Name,A#,"(False, False, True, True, True, True)"
Name,!A$%&,"(False, False, True, True, True, False)"
Name,_b_c_d_e_f,"(False, False, True, True, False, True)"
Name,1abc#$,"(False, False, True, True, False, False)"
Name, 5 ,"(False, False, True, False, True, True)"
Name,UNSAT,"(False, False, True, False, True, False)"
Name,@AB,"(False, False, True, False, False, True)"
Name,$ # %,"(False, False, True, False, False, False)"
Name,!Hello !World !,"(False, False, False, True, True, True)"
Name,X #abc,"(False, False, False, True, True, False)"
Name,0 ABC123 !@# > $ ,"(False, False, False, True, False, True)"
Name,!a#${b ,"(False, False, False, True, False, False)"
Name,UNSAT,"(False, False, False, False, True, True)"
Name,  !i! ,"(False, False, False, False, True, False)"
Name,UNSAT,"(False, False, False, False, False, True)"
Name, `_,"(False, False, False, False, False, False)"
Email,john.doe@example.com,"(True, True, True, True, True, True)"
Email,manager@team.,"(True, True, True, True, True, False)"
Email,johndoe@example.com,"(True, True, True, True, False, True)"
Email,john.doe.manager@,"(True, True, True, True, False, False)"
Email,John.Doe@example.com,"(True, True, True, False, True, True)"
Email,JohnManager,"(True, True, True, False, True, False)"
Email,a@user.,"(True, True, True, False, False, True)"
Email,john.manager.,"(True, True, True, False, False, False)"
Email,d.a.b@@c,"(True, True, False, True, True, True)"
Email,John@manager.,"(True, True, False, True, True, False)"
Email,Jord@.,"(True, True, False, True, False, True)"
Email,my@.manager.,"(True, True, False, True, False, False)"
Email,JohnDoe,"(True, True, False, False, True, True)"
Email,JSmithManager@Company,"(True, True, False, False, True, False)"
Email,John.Doe,"(True, True, False, False, False, True)"
Email,JohnSmithManager.,"(True, True, False, False, False, False)"
Email,@accountant.example,"(True, False, True, True, True, True)"
Email,@manager.,"(True, False, True, True, True, False)"
Email,@johnDoe.,"(True, False, True, True, False, True)"
Email,@.manager.,"(True, False, True, True, False, False)"
Email,@testuser,"(True, False, True, False, True, True)"
Email,@johnDoeManager,"(True, False, True, False, True, False)"
Email,@dev.,"(True, False, True, False, False, True)"
Email,@john.manager.,"(True, False, True, False, False, False)"
Email,@@Test,"(True, False, False, True, True, True)"
Email,@manager,"(True, False, False, True, True, False)"
Email,@email.com,"(True, False, False, True, False, True)"
Email,manager@company.com.,"(True, False, False, True, False, False)"
Email,adminassistant@ma,"(True, False, False, False, True, True)"
Email,@manag@ger,"(True, False, False, False, True, False)"
Email,@example.com.,"(True, False, False, False, False, True)"
Email,@manager.,"(True, False, False, False, False, False)"
Email,John Smith@example,"(False, True, True, True, True, True)"
Email,John Smith Manager@.Inc,"(False, True, True, True, True, False)"
Email,John Smith example.com.,"(False, True, True, True, False, True)"
Email,Manager @john.doe.,"(False, True, True, True, False, False)"
Email,John Doe@email.example,"(False, True, True, False, True, True)"
Email,Manag er@,"(False, True, True, False, True, False)"
Email,John Doe.,"(False, True, True, False, False, True)"
Email, Manager.,"(False, True, True, False, False, False)"
Email,John Doe email@example.com,"(False, True, False, True, True, True)"
Email,Jane Smith manager @.,"(False, True, False, True, True, False)"
Email,This is a test. @example2,"(False, True, False, True, False, True)"
Email,John Manager Smith.,"(False, True, False, True, False, False)"
Email,Alex @ Smith Jr,"(False, True, False, False, True, True)"
Email,Jane Smith Manager,"(False, True, False, False, True, False)"
Email,John Doe @work .,"(False, True, False, False, False, True)"
Email,Management team manager @assistant,"(False, True, False, False, False, False)"
Email,Managing Assistant,"(False, False, True, True, True, True)"
Email,@ manager,"(False, False, True, True, True, False)"
Email,@john.doe.,"(False, False, True, True, False, True)"
Email,@Manager Developer .,"(False, False, True, True, False, False)"
Email,@john doe,"(False, False, True, False, True, True)"
Email,@John Manager,"(False, False, True, False, True, False)"
Email,@Assistant Director .,"(False, False, True, False, False, True)"
Email,@Manager Manager,"(False, False, True, False, False, False)"
Email,@name user,"(False, False, False, True, True, True)"
Email,@_manager_._,"(False, False, False, True, True, False)"
Email,@assistant . Assistant@...,"(False, False, False, True, False, True)"
Email,John Mr @. Manager .,"(False, False, False, True, False, False)"
Email,@ @ User,"(False, False, False, False, True, True)"
Email,@manager Executive,"(False, False, False, False, True, False)"
Email,@Assistant's Manager .,"(False, False, False, False, False, True)"
Email,@ manager.,"(False, False, False, False, False, False)"
Password,A1!a7,"(True, True, True, True, True)"
Password,ebc$,"(True, True, True, True, False)"
Password,$A1B!,"(True, True, True, False, True)"
Password,AAAB#,"(True, True, True, False, False)"
Password,abc$1,"(True, True, False, True, True)"
Password,!abc,"(True, True, False, True, False)"
Password,2!$42,"(True, True, False, False, True)"
Password,UNSAT,"(True, True, False, False, False)"
Password,Hello123,"(True, False, True, True, True)"
Password,Abcd,"(True, False, True, True, False)"
Password,ABCD1,"(True, False, True, False, True)"
Password,ABCDEF,"(True, False, True, False, False)"
Password,ab9d,"(True, False, False, True, True)"
Password,hello,"(True, False, False, True, False)"
Password,1234,"(True, False, False, False, True)"
Password,abcd,"(True, False, False, False, False)"
Password,!1a,"(False, True, True, True, True)"
Password,A!,"(False, True, True, True, False)"
Password,A!,"(False, True, True, False, True)"
Password,$A,"(False, True, True, False, False)"
Password,#a1,"(False, True, False, True, True)"
Password,a#,"(False, True, False, True, False)"
Password,$1!,"(False, True, False, False, True)"
Password,$,"(False, True, False, False, False)"
Password,A1a,"(False, False, True, True, True)"
Password,Ab,"(False, False, True, True, False)"
Password,K11,"(False, False, True, False, True)"
Password,A,"(False, False, True, False, False)"
Password,ab0,"(False, False, False, True, True)"
Password,ab,"(False, False, False, True, False)"
Password,0,"(False, False, False, False, True)"
Password,,"(False, False, False, False, False)"
Url,http://example.com,"(True, True, True)"
Url,http://example.0,"(True, True, False)"
Url,https://example website.com,"(True, False, True)"
Url,http:// Example Space,"(True, False, False)"
Url,api.example,"(False, True, True)"
Url,hello,"(False, True, False)"
Url,Google Drive,"(False, False, True)"
Url,Hello World,"(False, False, False)"
Date,2023-11-25,"(True, True, True, True)"
Date,2023-10-32,"(True, True, True, False)"
Date,123-0-23,"(True, True, False, True)"
Date,2025-0-32,"(True, True, False, False)"
Date,-123-9-23,"(True, False, True, True)"
Date,-123-5-456,"(True, False, True, False)"
Date,-123-0.5-25,"(True, False, False, True)"
Date,-2026--0.9,"(True, False, False, False)"
Date,2022-08-15,"(False, True, True, True)"
Date,2025-8-0,"(False, True, True, False)"
Date,25-1-22,"(False, True, False, True)"
Date,203-0,"(False, True, False, False)"
Date,-1234-9-20,"(False, False, True, True)"
Date,-123-7-45,"(False, False, True, False)"
Date,-2025,"(False, False, False, True)"
Date,-1234-9999,"(False, False, False, False)"
IBAN,12100012345678901234,"(True, True, True)"
IBAN,1210550123456789012345,"(True, True, False)"
IBAN,12340000000000000,"(True, False, True)"
IBAN,123411987654321111,"(True, False, False)"
IBAN,121000123456789,"(False, True, True)"
IBAN,121011123,"(False, True, False)"
IBAN,12340000,"(False, False, True)"
IBAN,123456789012345678901,"(False, False, False)"
