name,result,truth_masks
Name,John Smith,"(True, True, True, True, True, True)"
Name,John Smith,"(True, True, True, True, True, False)"
Name,john smith,"(True, True, True, True, False, True)"
Name,john doe,"(True, True, True, True, False, False)"
Name,Jay G,"(True, True, True, False, True, True)"
Name, J ohn,"(True, True, True, False, True, False)"
Name,a B,"(True, True, True, False, False, True)"
Name, jane Doe ,"(True, True, True, False, False, False)"
Name,J A ,"(True, True, False, True, True, True)"
Name,John Smith ,"(True, True, False, True, True, False)"
Name,hello World,"(True, True, False, True, False, True)"
Name,a s p a c e ,"(True, True, False, True, False, False)"
Name,UNSAT,"(True, True, False, False, True, True)"
Name, A a man ,"(True, True, False, False, True, False)"
Name, A b ,"(True, True, False, False, False, True)"
Name,a ab c de,"(True, True, False, False, False, False)"
Name,John,"(True, False, True, True, True, True)"
Name,John smith,"(True, False, True, True, True, False)"
Name,hello,"(True, False, True, True, False, True)"
Name,john,"(True, False, True, True, False, False)"
Name,A,"(True, False, True, False, True, True)"
Name,UNSAT,"(True, False, True, False, True, False)"
Name,UNSAT,"(True, False, True, False, False, True)"
Name,UNSAT,"(True, False, True, False, False, False)"
Name,John,"(True, False, False, True, True, True)"
Name,UNSAT,"(True, False, False, True, True, False)"
Name,jane john ,"(True, False, False, True, False, True)"
Name,UNSAT,"(True, False, False, True, False, False)"
Name,UNSAT,"(True, False, False, False, True, True)"
Name,UNSAT,"(True, False, False, False, True, False)"
Name,UNSAT,"(True, False, False, False, False, True)"
Name,John smith ,"(True, False, False, False, False, False)"
Name,!(SpecialChar)Space(SpecialChar)!,"(False, True, True, True, True, True)"
Name,1st. Mr,"(False, True, True, True, True, False)"
Name,* ~ ~,"(False, True, True, True, False, True)"
Name,9d,"(False, True, True, True, False, False)"
Name,UNSAT,"(False, True, True, False, True, True)"
Name,$ A ! @ #,"(False, True, True, False, True, False)"
Name, a A !,"(False, True, True, False, False, True)"
Name,UNSAT,"(False, True, True, False, False, False)"
Name,A B,"(False, True, False, True, True, True)"
Name,X c ,"(False, True, False, True, True, False)"
Name,!a#B(&cd E ,"(False, True, False, True, False, True)"
Name,_ # ,"(False, True, False, True, False, False)"
Name,UNSAT,"(False, True, False, False, True, True)"
Name,S$hello,"(False, True, False, False, True, False)"
Name,UNSAT,"(False, True, False, False, False, True)"
